Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.12-consequential', '570a3cd837160350c4e0ec5992e88d35')","market for electricity, medium voltage",XK,"electricity, medium voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",XK,Eastern Europe,6525.393880604407,1.6045101498363497e-06,1.5177934828937315e-05,0.10729444086430935,6521.065160234692,0.9993366343775771,1.6444925890483228e-05,0.9996683170658449,8.222585888789453e-06,8.834818323161961,2.3712969675047214e-05,3.600014981047032,0.0,0.16348915494734997,0.018505045622630535,0.40747926972821236,0.5092511807969602,0.20374097687846127
"('ecoinvent-3.12-consequential', '99bc86692719e74e8cfb610b1bc2b59c')","solar collector system installation, Cu flat plate collector, multiple dwelling, hot water",RoW,"solar collector system, Cu flat plate collector, multiple dwelling, hot water",unit,4322,43,F,Specialized construction activities,RoW,Rest of World,68548347.7689198,0.27881536575040095,34.12738272107343,12245.712825154897,68302588.19548193,0.996414795407147,0.00017914130037567983,0.9982073956698603,8.957268390107804e-05,166077.55607850125,6.715904239451005,67.48949916244403,0.0,7730.920725200512,0.046548180829572475,0.00040635695575952835,0.5232538720516646,0.00022339684100131525
"('ecoinvent-3.12-consequential', 'e42d658386915d0fd99df9e73d3f5d9d')","fertilising, by stool splitter, sugarcane",BR,"fertilising, by stool splitter, sugarcane",hectare,0161,01,A,"Crop and animal production, hunting and related service activities",BR,GRULAC,20727.866995660526,0.15555085426954196,0.006168990845061155,18.967708655936857,20682.337571050502,0.9977959800380488,0.0009153732636195044,0.9988942378315226,0.0004614388193114899,733.4434176915674,2.082586320463042,0.0016338707518644927,0.0,13.594541836865279,0.018482748077854393,2.2213636811646546e-06,0.5078256618077461,0.001416822913021588
"('ecoinvent-3.12-consequential', '4d9f0c16ba241cfc85052772e6f58787')","market for inorganic nitrogen fertiliser, as N",LU,"inorganic nitrogen fertiliser, as N",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",LU,WEOG,7264.584026082836,7.389423831609935e-05,1.0025448117566653,117.00161562293532,7089.782777624988,0.9759378761472886,0.016243759974513116,0.9879689329877208,0.00812188507318008,72.49980552581292,0.0018508384871968374,0.017277299345822145,0.0,2.4519727880596878,0.03381954166314801,0.0002383021328369196,0.5168970067198281,0.00013191517816438258
"('ecoinvent-3.12-consequential', 'f16811722a3e4179ff7b1551b66fa778')",aluminium hydroxide production,"IAI Area, South America",aluminium hydroxide,kilogram,2011,20,C,Manufacture of chemicals and chemical products,"IAI Area, South America",GRULAC,203.51279371657427,1.6354861526639315e-05,1.000082729605075,0.5272875868057654,102.26748659170605,0.5025112991944279,0.007505032807884243,0.7512556094158085,0.0037525565853477067,6.454675289451775,0.00025399990351205145,0.00044678460042131167,0.0,0.06857665827936757,0.010623920914587888,6.921603326594087e-05,0.5052922855784435,5.428289548338003e-05
"('ecoinvent-3.12-consequential', '5c109472a89633d4e65982353544dda5')","market for furnace, logs, softwood storage area, 30kW",GLO,"furnace, logs, softwood storage area, 30kW",unit,2815,28,C,Manufacture of machinery and equipment n.e.c.,GLO,Global,10124310.503852362,26.700061659770846,5.183859956117525,3080.8410707182975,10106251.868128125,0.9982136770613581,0.00030481253918344123,0.9991055199227978,0.00015372487747300733,26678.360063900578,357.39872756733047,0.07316514418884,0.0,1282.7944328658782,0.047448064719038306,2.706236017016465e-06,0.5171142913434815,0.006611094134046133
"('ecoinvent-3.12-consequential', '1b78a19d6f840f1d9a0ce3310570d175')",evacuated tube collector production,GB,evacuated tube collector,square meter,2815,28,C,Manufacture of machinery and equipment n.e.c.,GB,WEOG,364996.36225207965,0.013937674580954677,0.37946791275910857,125.40753224038316,361992.2588041464,0.9917694596944544,0.0003446253397533683,0.9958847107543328,0.00017233176277114853,1706.462202338106,0.4400288811544881,0.29482855928041535,0.0,90.37610039263886,0.052947438195146156,0.0001727272680813217,0.5263448221774372,0.0002152605541765524
"('ecoinvent-3.12-consequential', '68d90b78e82247e7afe72fdcdebf893b')","methanol production, biomass gasification",RoW,"methanol, from biomass",kilogram,2011,20,C,Manufacture of chemicals and chemical products,RoW,Rest of World,4561.679140472553,3.242696178172802e-05,1.000071145393174,8.19902637912996,3284.7295192977135,0.7200702624621141,0.00201660335500446,0.8600351276767779,0.0010083052317813182,24.74974408867411,0.00045129036391771576,3.8568507041153707e-05,0.0,0.19270293962446838,0.007785915895745879,1.5583112153457579e-06,0.5038838410427939,9.896060686732022e-06
"('ecoinvent-3.12-consequential', '4fd22d4406a2e6875f10e73a988b5487')","market for electricity, high voltage, aluminium industry",CA,"electricity, high voltage, aluminium industry",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",CA,WEOG,7955.809872534135,1.5301557146177128e-06,5.480761386376188e-06,0.02202184178129409,7955.759440334681,0.9999936607673627,2.7687090178573645e-06,0.9999968302875154,1.3844506748589169e-06,0.07780533476055662,2.139874998335589e-05,3.6000031012176437,0.0,0.0019022900279947247,0.024442629700462758,46.25663880304188,0.5120838379896584,23.128456878381517
"('ecoinvent-3.12-consequential', '2386b28e290e570069be77c512b992e1')","C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,kilogram,1920,19,C,Manufacture of coke and refined petroleum products,Europe without Switzerland,WEOG,601.5652111215053,2.255549671927022e-05,1.0000191000082141,1.0080711237795779,599.2103175059108,0.9960853519464598,0.0033381088390257514,0.9980426572258891,0.001669073166853527,60.00411652956595,6.803268792503928e-05,6.496491302587437e-05,0.0,1.7036384643692493,0.02839199427169513,1.0826730418855e-06,0.5141954302363186,1.1082360498785685e-06
